input_name;processor;operation;input_width;input_height;output_width;output_height;batch_size;time
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2290
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2207
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2307
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2259
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2199
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2252
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2193
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2271
1920x1080.mp4;GPU;RESIZE;1920;1080;640;360;100;2270
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2480
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2413
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2481
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2397
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2433
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2449
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2456
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2462
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2437
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2461
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2435
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2434
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2457
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2454
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2500
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2454
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2459
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2488
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2446
1920x1080.mp4;GPU;RESIZE;1920;1080;1280;720;100;2424
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2926
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2924
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2968
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2912
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2948
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2939
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2899
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2913
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2926
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2930
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2914
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2899
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2931
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2930
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2921
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2894
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2929
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2926
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2976
1920x1080.mp4;GPU;RESIZE;1920;1080;1600;900;100;2947
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3506
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3446
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3527
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3479
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3529
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3540
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3514
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3579
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3516
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3494
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3535
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3543
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3462
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3534
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3560
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3515
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3493
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3544
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3513
1920x1080.mp4;GPU;RESIZE;1920;1080;1920;1080;100;3531
640x360.mp4;CPU;MONO;640;360;640;360;200;2532
640x360.mp4;CPU;MONO;640;360;640;360;200;2585
640x360.mp4;CPU;MONO;640;360;640;360;200;2539
640x360.mp4;CPU;MONO;640;360;640;360;200;2558
640x360.mp4;CPU;MONO;640;360;640;360;200;2571
640x360.mp4;CPU;MONO;640;360;640;360;200;2534
640x360.mp4;CPU;MONO;640;360;640;360;200;2482
640x360.mp4;CPU;MONO;640;360;640;360;200;2589
640x360.mp4;CPU;MONO;640;360;640;360;200;2473
640x360.mp4;CPU;MONO;640;360;640;360;200;2501
640x360.mp4;CPU;MONO;640;360;640;360;200;2454
640x360.mp4;CPU;MONO;640;360;640;360;200;2456
640x360.mp4;CPU;MONO;640;360;640;360;200;2442
640x360.mp4;CPU;MONO;640;360;640;360;200;2428
640x360.mp4;CPU;MONO;640;360;640;360;200;2429
640x360.mp4;CPU;MONO;640;360;640;360;200;2590
640x360.mp4;CPU;MONO;640;360;640;360;200;3004
640x360.mp4;CPU;MONO;640;360;640;360;200;2464
640x360.mp4;CPU;MONO;640;360;640;360;200;2394
640x360.mp4;CPU;MONO;640;360;640;360;200;2434
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8166
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8475
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;9328
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8249
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8272
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8039
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8165
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7927
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8187
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8118
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8609
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7900
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8290
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;8176
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7869
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7876
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7827
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7769
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7762
1280x720.mp4;CPU;MONO;1280;720;1280;720;200;7708
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13287
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12786
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12947
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13063
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12826
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12755
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12888
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12476
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13059
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12687
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12823
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12707
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13187
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13133
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12221
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13136
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12615
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12622
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;12608
1600x900.mp4;CPU;MONO;1600;900;1600;900;200;13037
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19497
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20295
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20056
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20221
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19598
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20887
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;21275
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19656
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20460
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19874
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20234
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19989
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19359
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19744
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;20160
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19788
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19960
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19362
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19828
1920x1080.mp4;CPU;MONO;1920;1080;1920;1080;200;19553
640x360.mp4;GPU;MONO;640;360;640;360;200;2419
640x360.mp4;GPU;MONO;640;360;640;360;200;2450
640x360.mp4;GPU;MONO;640;360;640;360;200;2766
640x360.mp4;GPU;MONO;640;360;640;360;200;2485
640x360.mp4;GPU;MONO;640;360;640;360;200;2384
640x360.mp4;GPU;MONO;640;360;640;360;200;2373
640x360.mp4;GPU;MONO;640;360;640;360;200;2370
640x360.mp4;GPU;MONO;640;360;640;360;200;2351
640x360.mp4;GPU;MONO;640;360;640;360;200;2344
640x360.mp4;GPU;MONO;640;360;640;360;200;2346
640x360.mp4;GPU;MONO;640;360;640;360;200;2330
640x360.mp4;GPU;MONO;640;360;640;360;200;2334
640x360.mp4;GPU;MONO;640;360;640;360;200;2409
640x360.mp4;GPU;MONO;640;360;640;360;200;2342
640x360.mp4;GPU;MONO;640;360;640;360;200;2195
640x360.mp4;GPU;MONO;640;360;640;360;200;2362
640x360.mp4;GPU;MONO;640;360;640;360;200;2312
